i m 	j ai ans 
she s scared of dogs 	elle a peur des chiens 
she s very beautiful 	elle est tres belle 
she s very emotional 	elle est tres emotive 
she s a doctor now 	elle est desormais medecin 
they are approaching 	ils approchent 
they are approaching 	elles approchent 
they are five in all 	ils sont cinq en tout 
they are five in all 	elles sont cinq en tout 
they are good people 	ce sont de bonnes gens 
they are not sisters 	elles ne sont pas s urs 
they are running now 	ils courent maintenant 
they re able to sing 	ils peuvent chanter 
they re able to sing 	ils sont capables de chanter 
they re afraid of me 	elles ont peur de moi 
they re afraid of me 	ils ont peur de moi 
they re afraid of us 	elles ont peur de nous 
they re all in there 	ils sont tous la dedans 
they re all in there 	elles sont toutes la dedans 
they re all the same 	ils sont tous les memes 
they re all the same 	elles sont toutes les memes 
they re all tourists 	ce sont tous des touristes 
they re all tourists 	ce sont toutes des touristes 
they re going to try 	ils vont essayer 
they re going to try 	elles vont essayer 
they re going to try 	ils vont le tenter 
they re going to try 	elles vont le tenter 
they re hard to find 	ils sont durs a trouver 
they re hard to find 	elles sont dures a trouver 
they re just for you 	ils sont juste pour toi 
they re just for you 	elles sont juste pour toi 
they re just for you 	ils sont juste pour vous 
they re just for you 	elles sont juste pour vous 
they re not a threat 	ils ne constituent pas une menace 
they re not a threat 	elles ne constituent pas une menace 
they re not all busy 	ils ne sont pas tous occupes 
they re not all busy 	elles ne sont pas toutes occupees 
they re not here yet 	elles ne sont pas encore la 
they re not home yet 	ils ne sont pas encore chez eux 
they re not home yet 	elles ne sont pas encore chez elles 
they re not home yet 	ils ne sont pas encore a la maison 
they re not home yet 	elles ne sont pas encore a la maison 
they re not my rules 	ce ne sont pas mes regles 
they re really tight 	ils sont vraiment intimes 
they re really tight 	ils sont vraiment serres 
they re really tight 	ils sont vraiment radins 
they re sending help 	ils envoient de l aide 
we are boiling water 	nous sommes en train de bouillir de l eau 
we are eleven in all 	nous sommes onze en tout 
we are out of danger 	nous sommes hors de danger 
we are to eat at six 	nous mangerons a heures 
we are two of a kind 	nous sommes du meme tonneau 
we re all devastated 	nous sommes tous aneantis 
we re all devastated 	nous sommes toutes aneanties 
we re all going home 	nous allons tous chez nous 
we re all going home 	nous allons toutes chez nous 
we re all going home 	nous allons tous a la maison 
we re all going home 	nous allons toutes a la maison 
we re all vulnerable 	nous sommes tous vulnerables 
we re always careful 	nous sommes toujours prudents 
we re always careful 	nous sommes toujours prudentes 
we re being attacked 	nous sommes attaques 
we re being attacked 	nous sommes attaquees 
we re blood brothers 	nous sommes freres de sang 
we re both witnesses 	nous sommes tous deux temoins 
we re both witnesses 	nous sommes toutes deux temoins 
we re claustrophobic 	nous sommes claustrophobes 
we re getting closer 	nous nous approchons 
we re getting closer 	nous nous rapprochons 
we re getting closer 	nous devenons plus intimes 
we re getting warmer 	nous nous rechauffons 
we re going in first 	nous entrons en premier 
we re going shopping 	nous allons faire des courses 
we re going shopping 	nous allons faire des emplettes 
we re going to begin 	nous allons commencer 
we re going to fight 	nous combattrons 
we re going upstairs 	nous montons 
we re having a blast 	on s eclate 
we re having a blast 	nous subissons une rafale de vent 
we re having a blast 	nous subissons un coup de tabac 
we re having company 	nous avons de la visite 
we re in a recession 	nous sommes en recession 
we re just beginning 	nous ne faisons que commencer 
we re not barbarians 	nous ne sommes pas des barbares 
we re not being sued 	on ne nous poursuit pas 
we re not evacuating 	nous ne sommes pas en train d evacuer 
we re not going home 	nous n allons pas a la maison 
we re not interested 	nous ne sommes pas interesses 
we re not interested 	nous ne sommes pas interessees 
we re not terrorists 	nous ne sommes pas des terroristes 
we re not that close 	nous ne sommes pas si proches 
we re not used to it 	nous n y sommes pas habitues 
we re not used to it 	nous n y sommes pas habituees 
we re not your enemy 	nous ne sommes pas tes ennemis 
we re not your enemy 	nous ne sommes pas vos ennemis 
we re not your enemy 	nous ne sommes pas tes ennemies 
we re not your enemy 	nous ne sommes pas vos ennemies 
we re out of bullets 	nous sommes a court de balles 
we re out of options 	nous sommes a court de possibilites 
we re perfectly safe 	nous sommes parfaitement en securite 
we re protecting you 	nous vous protegeons 
we re ready for this 	nous y sommes prets 
we re ready for this 	nous y sommes pretes 
we re really married 	nous sommes vraiment maries 
we re really married 	nous sommes vraiment mariees 
we re still involved 	nous sommes toujours impliques 
we re still involved 	nous sommes toujours impliquees 
we re still involved 	nous sommes toujours engages 
we re still involved 	nous sommes toujours engagees 
we re still not sure 	nous ne sommes pas encore surs 
we re still not sure 	nous ne sommes pas encore sures 
we re still not sure 	nous ne sommes toujours pas surs 
we re still not sure 	nous ne sommes toujours pas sures 
we re still underage 	nous sommes encore mineurs 
we re still underage 	nous sommes encore mineures 
we re too vulnerable 	nous sommes trop vulnerables 
we re very different 	nous sommes tres differents 
we re very different 	nous sommes tres differentes 
we re your last hope 	nous sommes ton dernier espoir 
we re your last hope 	nous sommes votre dernier espoir 
you are a bad person 	tu es un etre mauvais 
you are a bad person 	vous etes un etre mauvais 
you are a workaholic 	tu es un maniaque du travail 
you are new students 	vous etes de nouveaux etudiants 
you are not japanese 	tu n es pas japonais 
you are not japanese 	tu n es pas japonaise 
you are not japanese 	vous n etes pas japonais 
you are not japanese 	vous n etes pas japonaise 
you are not japanese 	vous n etes pas japonaises 
you are not a coward 	tu n es pas un lache 
you are not a coward 	vous n etes pas un lache 
you are not a doctor 	vous n etes pas un medecin 
you are now an adult 	tu es desormais un adulte 
you are under arrest 	vous etes en etat d arrestation 
you are welcome here 	tu es le bienvenue 
you are welcome here 	vous etes bienvenue ici 
you are what you eat 	vous etes ce que vous mangez 
you aren t my mother 	tu n es pas ma mere 
you aren t my mother 	vous n etes pas ma mere 
you re german right 	tu es allemand n est ce pas 
you re a filthy liar 	tu es un sale menteur 
you re a filthy liar 	tu es une sale menteuse 
you re a filthy liar 	vous etes un sale menteur 
you re a filthy liar 	vous etes une sale menteuse 
you re a little late 	tu es un peu en retard 
you re a little liar 	tu es un petit menteur 
you re a little liar 	tu es une petite menteuse 
you re a little liar 	vous etes un petit menteur 
you re a total wreck 	tu es une vraie loque 
you re a total wreck 	vous etes une vraie loque 
you re a true friend 	tu es un veritable ami 
you re a true friend 	tu es une veritable amie 
you re being watched 	on te regarde 
you re conscientious 	tu es consciencieux 
you re conscientious 	vous etes consciencieux 
you re conscientious 	tu es consciencieuse 
you re conscientious 	vous etes consciencieuse 
you re conscientious 	vous etes consciencieuses 
you re double parked 	vous etes gare en double file 
you re double parked 	vous etes gares en double file 
you re double parked 	vous etes garees en double file 
you re double parked 	vous etes garee en double file 
you re double parked 	tu es gare en double file 
you re double parked 	tu es garee en double file 
you re going to lose 	tu vas perdre 
you re going to lose 	vous allez perdre 
you re going too far 	tu vas trop loin 
you re just a coward 	tu n es qu un lache 
you re never at home 	tu n es jamais chez toi 
you re never at home 	vous n etes jamais chez vous 
you re not a suspect 	tu ne comptes pas au nombre des suspects 
you re not a suspect 	vous ne comptez pas au nombre des suspects 
you re not in charge 	ce n est pas toi qui dirige 
you re not in charge 	ce n est pas vous qui dirigez 
you re not listening 	vous n ecoutez pas 
you re not listening 	tu n ecoutes pas 
you re not my friend 	vous n etes pas mon ami 
you re not my friend 	vous n etes pas mon amie 
you re not my friend 	tu n es pas mon ami 
you re not my friend 	tu n es pas mon amie 
you re not my mother 	tu n es pas ma mere 
you re not my mother 	vous n etes pas ma mere 
you re not one of us 	tu n es pas des notres 
you re not one of us 	vous n etes pas des notres 
you re not safe here 	vous n y etes pas en securite 
you re not safe here 	tu n y es pas en securite 
you re not safe here 	tu n es pas en securite ici 
you re not safe here 	vous n etes pas en securite ici 
you re not the first 	tu n es pas le premier 
you re not the first 	tu n es pas la premiere 
you re not the first 	vous n etes pas le premier 
you re not the first 	vous n etes pas la premiere 
you re not very good 	vous n etes pas tres bon 
you re not very good 	vous n etes pas tres bons 
you re not very good 	vous n etes pas tres bonne 
you re not very good 	vous n etes pas tres bonnes 
you re not very tidy 	vous n etes pas tres ordonne 
you re not very tidy 	vous n etes pas tres ordonnee 
you re not very tidy 	vous n etes pas tres ordonnes 
you re not very tidy 	vous n etes pas tres ordonnees 
you re opportunistic 	tu es un opportuniste 
you re opportunistic 	tu es une opportuniste 
you re opportunistic 	vous etes un opportuniste 
you re opportunistic 	vous etes une opportuniste 
you re opportunistic 	vous etes des opportunistes 
you re overconfident 	tu as trop confiance en toi 
you re overemotional 	tu te laisses trop dominer par tes emotions 
you re overemotional 	vous vous laissez trop dominer par vos emotions 
you re putting me on 	tu te fous de moi 
you re putting me on 	vous vous foutez de moi 
you re still growing 	tu es encore en train de grandir 
you re still growing 	vous etes encore en train de grandir 
you re such an idiot 	tu es un de ces idiots 
you re such an idiot 	quel imbecile vous etes 
you re such an idiot 	quel imbecile tu es 
you re such an idiot 	quel idiot tu es 
you re such an idiot 	quelle idiote tu es 
you re such an idiot 	quel idiot vous etes 
you re such an idiot 	quelle idiote vous etes 
you re such an idiot 	tu es tellement idiot 
you re such an idiot 	tu es tellement idiote 
you re temperamental 	tu es lunatique 
you re temperamental 	vous etes lunatique 
you re temperamental 	vous etes lunatiques 
you re temperamental 	vous etes fantasque 
you re temperamental 	vous etes fantasques 
you re temperamental 	tu es fantasque 
you re the scapegoat 	vous etes le bouc emissaire 
you re the scapegoat 	tu es le bouc emissaire 
you re totally right 	tu as parfaitement raison 
you re totally right 	vous avez parfaitement raison 
you re unforgettable 	tu es inoubliable 
you re unforgettable 	vous etes inoubliable 
you re unforgettable 	vous etes inoubliables 
you re very flexible 	tu es tres flexible 
you re very flexible 	vous etes tres flexible 
you re very flexible 	vous etes tres flexibles 
you re very generous 	tu es tres genereux 
you re very generous 	tu es tres genereuse 
you re very generous 	tu es fort genereux 
you re very generous 	tu es fort genereuse 
you re very generous 	vous etes fort genereux 
you re very generous 	vous etes fort genereuse 
you re very generous 	vous etes fort genereuses 
you re very generous 	vous etes tres genereuse 
you re very generous 	vous etes tres genereux 
you re very generous 	vous etes tres genereuses 
you re very talented 	vous etes tres talentueux 
you re very talented 	vous etes tres talentueuse 
you re very talented 	vous etes tres talentueuses 
you re very talented 	vous etes fort talentueuse 
you re very talented 	vous etes fort talentueuses 
you re very talented 	vous etes fort talentueux 
you re very talented 	tu es fort talentueux 
you re very talented 	tu es tres talentueux 
you re very talented 	tu es fort talentueuse 
you re very talented 	tu es tres talentueuse 
you re very talented 	tu es plein de talent 
you re very talented 	tu es pleine de talent 
you re very talented 	vous etes plein de talent 
you re very talented 	vous etes pleine de talent 
you re wasting water 	vous gaspillez de l eau 
you re wasting water 	tu gaspilles de l eau 
he is a big prankster 	c est un grand farceur 
he is a famous artist 	c est un artiste celebre 
he is a heroin addict 	il est heroino dependant 
he is a heroin addict 	il est dependant a l heroine 
he is a living fossil 	c est un fossile vivant 
he is a man of reason 	c est un homme de raison 
he is a man of vision 	il est un homme de vision 
he is a man of wealth 	c est un homme riche 
he is a man of wisdom 	c est un homme sage 
he is a sharp shooter 	c est un tireur d elite 
he is a spoiled child 	c est un enfant gate 
he is a spoiled child 	c est un enfant pourri gate 
he is a tennis player 	c est un joueur de tennis 
he is above suspicion 	il est au dessus de tout soupcon 
he is afraid of death 	il a peur de la mort 
he is afraid of death 	il craint la mort 
he is always laughing 	il est toujours en train de rire 
he is always prepared 	il est toujours pret 
he is always studying 	il etudie tout le temps 
he is an army officer 	il est officier de l armee 
he is as good as dead 	il est comme mort 
he is away on holiday 	il est parti en vacances 
he is blinded by love 	il est aveugle par l amour 
he is eager to please 	il cherche a plaire 
he is good at cooking 	il est bon cuisinier 
he is good at driving 	c est un bon conducteur 
he is good at driving 	il est bon conducteur 
he is good at singing 	il est bon chanteur 
he is good at singing 	il chante bien 
he is in the bathroom 	il est dans la salle de bain 
he is in the bathroom 	il est aux toilettes 
he is just an amateur 	il n est qu un amateur 
he is lost in thought 	il est perdu dans ses pensees 
he is mad about music 	c est un fondu de musique 
he is mad about music 	c est un fou de musique 
he is my close friend 	c est un ami tres proche 
he is my close friend 	c est mon ami intime 
he is no ordinary man 	ce n est pas un homme ordinaire 
he is not always late 	il n est pas toujours en retard 
he is not an american 	il n est pas americain 
he is not kind to her 	il n est pas gentil avec elle 
he is not kind to her 	il n est pas gentil a son egard 
he is not what he was 	il n est plus ce qu il etait 
he is on another line 	il est sur une autre ligne 
he is poor but happy 	il est pauvre mais heureux 
he is said to be rich 	on dit qu il est riche 
he is such a show off 	c est un tel frimeur 
he is sure of success 	il est sur de reussir 
he is sure of success 	il est sur de son succes 
he is sure to succeed 	il est sur de reussir 
he is sure to succeed 	il est sur de son succes 
he is tall and strong 	il est grand et fort 
he is the tallest boy 	c est le garcon le plus grand 
he is unable to do it 	il est incapable de le faire 
he is very mean to me 	il est tres mechant avec moi 
he is washing his car 	il lave sa voiture 
he is washing the car 	il est en train de laver la voiture 
he is watching tv now 	maintenant il regarde la tele 
he is wearing glasses 	il porte des lunettes 
he is writing a novel 	il est en train d ecrire un roman 
he isn t happy at all 	il n est pas du tout satisfait 
he isn t happy at all 	il n est pas du tout content 
he s a fine young lad 	c est un bon gars 
he s a notorious liar 	c est un menteur notoire 
he s afraid of snakes 	il a peur des serpents 
he s allergic to cats 	il est allergique aux chats 
he s allergic to cats 	il a une allergie aux chats 
he s an absolute fool 	il est completement fou 
he s an oceanographer 	il est oceanographe 
he s away on business 	il est parti pour affaires 
he s away on vacation 	il est absent en conges 
he s done this before 	il l a fait auparavant 
he s eating lunch now 	il est en train de prendre son dejeuner a l heure actuelle 
he s enjoying himself 	il s amuse 
he s gone into hiding 	il est parti au maquis 
he s gone into hiding 	il se planque 
he s gone into hiding 	il se cache 
he s hungry for power 	il a soif de pouvoir 
he s just buying time 	il est juste en train de gagner du temps 
he s just kidding you 	il se moque juste de toi 
he s kind of handsome 	il est plutot beau 
he s learning chinese 	il apprend le chinois 
he s my older brother 	c est mon frere aine 
he s not always happy 	il n est pas toujours heureux 
he s not in our group 	il n est pas dans notre groupe 
he s not in our group 	il ne fait pas partie de notre groupe 
he s on his last legs 	il est au bout de ses forces 
he s on his last legs 	il est a bout de force 
he s our only suspect 	il est notre unique suspect 
he s right behind you 	il se trouve juste derriere vous 
he s right behind you 	il se trouve juste derriere toi 
he s right behind you 	il est juste derriere vous 
he s right behind you 	il est juste derriere toi 
he s stronger than me 	il est plus fort que moi 
he s such a cold fish 	il est si distant 
he s such a great guy 	c est un type tellement sympa 
he s their only child 	c est leur unique enfant 
he s very experienced 	il a beaucoup d experience 
he s very intelligent 	il est tres intelligent 
he s washing your car 	il lave votre voiture 
he s with his parents 	il est avec ses parents 
he s young and single 	il est jeune et celibataire 
i am an office worker 	j ai un emploi de bureau 
i am folding my dress 	je plie ma robe 
i am glad to help you 	je suis content de t aider 
i am glad to help you 	je suis ravi de t aider 
i am glad to help you 	je suis contente de t aider 
i am glad to help you 	je suis ravie de t aider 
i am glad to help you 	je suis content de vous aider 
i am glad to help you 	je suis ravie de vous aider 
i am glad to help you 	je suis ravi de vous aider 
i am glad to help you 	je suis contente de vous aider 
i am grateful to them 	je leur suis reconnaissant 
i am harvesting wheat 	je suis en train de recolter du ble 
i am here on business 	je suis ici pour affaires 
i am in the classroom 	je suis en salle de classe 
i am near the station 	je me trouve pres de la gare 
i am no match for him 	je ne peux pas me comparer a lui 
i am no match for him 	je ne suis pas de taille a me mesurer a lui 
i am not studying now 	en ce moment je n etudie pas 
i am poor at swimming 	je ne sais pas bien nager 
i am reading a letter 	je lis une lettre 
i am reading a letter 	je suis en train de lire une lettre 
i am shorter than you 	je suis plus petit que toi 
i am shorter than you 	je suis plus petite que vous 
i am shorter than you 	je suis plus petit que vous 
i am tired of reading 	je suis fatigue de lire 
i am too tired to run 	je suis trop fatigue pour courir 
i am totally confused 	je suis completement confus 
i am totally confused 	je suis completement confuse 
i am writing a letter 	j ecris une lettre 
i m a big fan of golf 	j adore le golf 
i m a football player 	je suis un joueur de foot 
i m a little confused 	je suis un peu perplexe 
i m a little confused 	je suis un peu desoriente 
i m a married man now 	je suis un homme marie maintenant 
i m a terrible dancer 	je suis un pietre danseur 
i m a terrible writer 	je suis un epouvantable ecrivain 
i m afraid of heights 	je souffre de vertige 
i m afraid of nothing 	je n ai peur de rien 
i m afraid of spiders 	j ai peur des araignees 
i m all out of tricks 	je suis a court d expedients 
i m almost sure of it 	j en suis presque sur 
i m almost sure of it 	j en suis presque sure 
i m ashamed of myself 	j ai honte de moi meme 
i m at the restaurant 	je suis au restaurant 
i m aware of all that 	je suis conscient de tout cela 
i m being blackmailed 	on me fait chanter 
i m busy all the time 	je suis toujours occupe 
i m coming right away 	j arrive tout de suite 
i m coming right away 	j arrive immediatement 
i m coming right home 	j arrive juste chez moi 
i m coming right home 	j arrive juste chez nous 
i m doing my homework 	je fais mes devoirs 
i m doing my homework 	je suis en train de faire mes devoirs 
i m doing pretty well 	je vais assez bien 
i m dreading the exam 	je crains l examen 
i m dreading the exam 	je redoute l examen 
i m dreading the exam 	j apprehende l examen 
i m eating a sandwich 	je mange un sandwich 
i m failing at my job 	j echoue dans mon travail 
i m finished with you 	j en ai fini avec toi 
i m finished with you 	j en ai fini avec vous 
i m from tokyo japan 	je viens de tokyo japon 
i m getting undressed 	je me deshabille 
i m glad to hear that 	je suis heureux d entendre cela 
i m glad to hear that 	c est bien 
i m glad to hear that 	je me rejouis de l entendre 
i m glad you liked it 	je suis heureux que tu l aies aime 
i m glad you liked it 	je suis heureux que tu l aies apprecie 
i m glad you liked it 	je suis heureuse que tu l aies apprecie 
i m glad you liked it 	je suis heureux que vous l ayez apprecie 
i m glad you liked it 	je suis heureuse que vous l ayez apprecie 
i m glad you re early 	je suis content que tu sois en avance 
i m glad you re early 	je suis contente que vous soyez en avance 
i m going back inside 	je retourne a l interieur 
i m going there alone 	j y vais seul 
i m going to be on tv 	je vais passer a la television 
i m going to hurt you 	je vais te blesser 
i m going to miss you 	tu vas me manquer 
i m going to miss you 	vous allez me manquer 
i m going to the bank 	je vais a la banque 
i m going to watch tv 	je vais regarder la tele 
i m happy you re here 	je suis heureux que tu sois la 
i m happy you re here 	je suis heureuse que tu sois la 
i m happy you re here 	je suis heureux que vous soyez la 
i m happy you re here 	je suis heureuse que vous soyez la 
i m here as a tourist 	je suis ici en tant que touriste 
i m here to apologize 	je suis ici pour presenter mes excuses 
i m home all the time 	je suis a la maison tout le temps 
i m joking of course 	je plaisante bien sur 
i m just a normal guy 	je suis juste un type normal 
i m just being honest 	je suis simplement franc 
i m just being honest 	je suis simplement franche 
i m just doing my job 	je ne fais que mon travail 
i m late for practice 	je suis en retard pour l entrainement 
i m leaving it to you 	je te le laisse 
i m leaving it to you 	je vous laisse ca 
i m leaving on sunday 	je pars dimanche 
i m looking for a job 	je cherche du travail 
i m looking for a job 	je cherche un emploi 
i m not a disbeliever 	je ne suis pas incroyant 
i m not a drug addict 	je ne suis pas un drogue 
i m not a drug addict 	je ne suis pas une droguee 
i m not a drug addict 	je ne suis pas un toxico 
i m not a drug addict 	je ne suis pas une toxico 
i m not a kid anymore 	je ne suis plus un enfant 
i m not a millionaire 	je ne suis pas millionnaire 
i m not afraid at all 	je n ai absolument pas peur 
i m not afraid of you 	je n ai pas peur de vous 
i m not afraid to die 	je n ai pas peur de mourir 
i m not afraid to try 	je n ai pas peur d essayer 
i m not all that busy 	je ne suis pas si occupe que ca 
i m not all that busy 	je ne suis pas si occupee que ca 
i m not an only child 	je ne suis pas un enfant unique 
i m not an only child 	je ne suis pas une enfant unique 
i m not angry anymore 	je n ai plus faim 
i m not at all afraid 	je n ai pas peur du tout 
i m not at all hungry 	je n ai pas faim du tout 
i m not done with you 	je n en ai pas fini avec toi 
i m not done with you 	je n en ai pas fini avec vous 
i m not done with you 	moi je n en ai pas fini avec toi 
i m not done with you 	moi je n en ai pas fini avec vous 
i m not entirely sure 	je ne suis pas entierement sur 
i m not entirely sure 	je ne suis pas entierement sure 
i m not entirely sure 	je n en suis pas entierement sur 
i m not entirely sure 	je n en suis pas entierement sure 
i m not following you 	je ne te suis pas 
i m not giving up yet 	je ne vais pas encore abandonner 
i m not going outside 	je ne sors pas 
i m not going to look 	je ne vais pas regarder 
i m not going to lose 	je ne vais pas perdre 
i m not going to stop 	je ne vais pas m arreter 
i m not going to talk 	je ne vais pas discuter 
i m not going to wait 	je ne vais pas attendre 
i m not going to work 	je ne vais pas travailler 
i m not here to fight 	je ne suis pas la pour me bagarrer 
i m not here to fight 	je ne suis pas la pour me battre 
i m not hungry anyway 	je n ai pas faim de toutes manieres 
i m not hungry at all 	je n ai pas faim du tout 
i m not hungry either 	je n ai pas faim non plus 
i m not in any danger 	je ne cours pas le moindre danger 
i m not in good shape 	je ne suis pas en forme 
i m not narrow minded 	je ne suis pas etroit d esprit 
i m not narrow minded 	je ne suis pas etroite d esprit 
i m not on duty today 	je ne suis pas en service aujourd hui 
i m not one to gossip 	je ne suis pas une commere 
i m not proud of that 	je n en suis pas fier 
i m not proud of that 	je n en suis pas fiere 
i m not really hungry 	je n ai pas vraiment faim 
i m not scared to die 	je ne crains pas de mourir 
i m not sleeping well 	je ne dors pas bien 
i m not sure about it 	je n en suis pas sur 
i m not sure about it 	je n en suis pas sure 
i m not too convinced 	je n en suis pas trop convaincu 
i m not too convinced 	je n en suis pas trop convaincue 
i m not uncomfortable 	je ne me sens pas mal a l aise 
i m not unsympathetic 	je n y suis pas hostile 
i m not very athletic 	je ne suis pas tres athletique 
i m not wearing socks 	je ne porte pas de chaussettes 
i m not young anymore 	je ne suis plus tout jeune 
i m not young anymore 	je ne suis plus toute jeune 
i m not your daughter 	je ne suis pas ta fille 
i m not your daughter 	je ne suis pas votre fille 
i m on my lunch break 	je suis en pause dejeuner 
i m on my way to work 	je suis sur le chemin du travail 
i m on my way to work 	je suis en chemin pour mon travail 
i m out of place here 	je ne suis pas a ma place ici 
i m playing a tv game 	je joue a un jeu televise 
i m playing a tv game 	je joue a un jeu sur console 
i m proud of you guys 	je suis fier de vous les mecs 
i m proud of you guys 	je suis fier de vous les gars 
i m proud of you guys 	je suis fiere de vous les mecs 
i m rarely this angry 	je suis rarement autant en colere 
i m ready for a break 	je suis pret pour une pause 
i m really not hungry 	je n ai vraiment pas faim 
i m scared of heights 	j ai peur de la hauteur 
i m sick of this game 	j en ai marre de ce jeu 
i m sorry i m so late 	je suis desole d etre en retard 
i m staying out of it 	je ne veux pas m en meler 
i m still your friend 	je suis toujours ton ami 
i m still your friend 	je suis toujours ton amie 
i m still your friend 	je suis toujours votre ami 
i m still your friend 	je suis toujours votre amie 
i m sure i ll be fine 	je suis sur que ca ira bien pour moi 
i m sure i ll be fine 	je suis sure que ca ira bien pour moi 
i m sure that s wrong 	je suis sure que c est faux 
i m sure that s wrong 	je suis sur que que c est mal 
i m sure that s wrong 	je suis sur que c est faux 
i m sure we all agree 	je suis sur que nous sommes tous d accord 
i m sure we all agree 	je suis sure que nous sommes toutes d accord 
i m swamped with work 	je suis submerge de travail 
i m taking a vacation 	je prends des vacances 
i m taking care of it 	je m en occupe 
i m terrible at chess 	je suis mauvais aux echecs 
i m thinking of going 	je songe a y aller 
i m three blocks away 	j habite a trois pates de maison d ici 
i m to blame not you 	c est ma faute pas la tienne 
i m too sleepy to eat 	j ai trop sommeil pour manger 
i m too tired to walk 	je suis trop fatigue pour marcher 
i m trying not to cry 	j essaye de ne pas pleurer 
i m used to the noise 	je suis habitue au bruit 
i m very drawn to you 	vous m attirez beaucoup 
i m very drawn to you 	je suis tres attiree par toi 
i m very drawn to you 	je suis tres attiree par vous 
i m waiting for lunch 	j attends le dejeuner 
i m worried about him 	je suis inquiet pour lui 
i m worried about you 	je m inquiete pour toi 
she is a good swimmer 	elle est bonne nageuse 
she is a good swimmer 	c est une bonne nageuse 
she is about to leave 	elle est sur le point de partir 
she is afraid of cats 	elle a peur des chats 
she is afraid of dogs 	elle a peur des chiens 
she is always smoking 	elle est toujours a fumer 
she is as tall as you 	elle est aussi grande que toi 
she is engaged to him 	c est sa fiancee 
she is gaining weight 	elle prend du poids 
she is good at skiing 	elle est bonne en ski 
she is likely to come 	elle a l air de venir 
she is related to him 	elle lui est apparentee 
she is sewing a dress 	elle coud une robe 
she is very beautiful 	elle est tres belle 
she is weak by nature 	elle est d une nature faible 
she isn t kind to him 	elle n est pas gentille avec lui 
she said with a smile 	elle le dit avec un sourire 
she screamed for help 	elle cria a l aide 
she screamed for help 	elle hurla a l aide 
she seems to be happy 	elle semble etre heureuse 
she sings out of tune 	elle chante faux 
she stayed at a hotel 	elle est restee a l hotel 
she s a jealous woman 	c est une femme jalouse 
she s a single mother 	elle est mere celibataire 
she s had a hard life 	elle a eu une vie difficile 
she s missed the boat 	elle a loupe le coche 
she s my older sister 	c est ma s ur ainee 
she s not at home now 	elle n est pas chez elle actuellement 
she s not in the mood 	elle n est pas d humeur 
she s rather clueless 	elle est plutot conne 
she s smarter than me 	elle est plus intelligent que moi 
she s smartly dressed 	elle est habillee elegamment 
she s still under age 	elle est encore mineure 
she s sure to succeed 	elle est sure de reussir 
she s taller than him 	elle est plus grande que lui 
she s too old for you 	elle est trop vieille pour toi 
she s too old for you 	elle est trop vieille pour vous 
she s too old for you 	elle est trop agee pour toi 
she s under the chair 	elle est sous la chaise 
she s upset right now 	elle est fachee la 
they are all the same 	ils sont tous les memes 
they are out shopping 	ils sont sortis faire les magasins 
they are out shopping 	elles sont sorties faire les magasins 
they are the same age 	ils sont du meme age 
they are the same age 	ils ont le meme age 
they re able students 	ce sont des etudiants capables 
they re afraid of him 	elles ont peur de lui 
they re afraid of him 	ils ont peur de lui 
they re all terrified 	ils sont tous terrifies 
they re all terrified 	elles sont toutes terrifiees 
they re coming for me 	ils viennent pour moi 
they re coming for me 	elles viennent pour moi 
they re coming for us 	ils viennent nous chercher 
they re coming for us 	elles viennent nous chercher 
they re in the garden 	ils sont au jardin 
they re in the garden 	elles sont au jardin 
they re in the shower 	ils sont dans la douche 
they re in the shower 	elles sont dans la douche 
they re in the shower 	elles sont sous la douche 
they re in the shower 	ils sont sous la douche 
they re just students 	ce sont juste des etudiants 
they re just students 	ce ne sont que des etudiants 
they re just students 	ce ne sont que des etudiantes 
they re just students 	ce sont juste des etudiantes 
they re not criminals 	ce ne sont pas des criminels 
they re not criminals 	ce ne sont pas des criminelles 
they re not expensive 	ils ne sont pas chers 
they re not expensive 	elles ne sont pas cheres 
they re not expensive 	elles ne sont pas onereuses 
they re not following 	ils ne sont pas en train de suivre 
they re not following 	elles ne sont pas en train de suivre 
they re playing chess 	ils jouent aux echecs 
they re up to no good 	ils ne mijotent rien de bon 
they re up to no good 	ils vont faire des conneries 
they re up to no good 	ils preparent un mauvais tour 
they re up to no good 	ils font des affaires pas correctes 
we are short of money 	nous sommes a court d argent 
we are the new owners 	nous sommes les nouveaux proprietaires 
we re behind schedule 	nous sommes en retard 
we re closed tomorrow 	nous serons fermes demain 
we re completely lost 	nous sommes completement egares 
we re completely lost 	nous sommes completement egarees 
we re dealing with it 	nous nous en occupons 
we re getting married 	nous nous marions 
we re getting nowhere 	nous n aboutissons nulle part 
we re just practicing 	nous ne faisons que nous exercer 
we re leaving tonight 	nous partons ce soir 
we re nearly finished 	nous en avons presque termine 
we re nearly finished 	nous en avons presque fini 
we re not going there 	nous n y allons pas 
we re not proud of it 	nous n en sommes pas fiers 
we re not really sure 	nous ne sommes pas vraiment surs 
we re not really sure 	nous ne sommes pas vraiment sures 
we re not responsible 	nous ne sommes pas responsables 
we re not through yet 	nous n en avons pas encore termine 
we re on our way home 	nous sommes sur le chemin de la maison 
we re so proud of you 	nous sommes tellement fieres de toi 
we re so proud of you 	nous sommes tellement fieres de vous 
we re so proud of you 	nous sommes tellement fiers de toi 
we re so proud of you 	nous sommes tellement fiers de vous 
you are a good person 	tu es un mec bien 
you are a good person 	vous etes un mec bien 
